question,answer,tag,law_article,clean_question
Không thực hiện đăng ký thường trú có thể bị phạt như thế nào?,"Căn cứ vào Điều 9 Nghị định 144/2021/NĐ-CP quy định như sau:
Như vậy, mặc dù không còn quy định thời hạn phải đăng ký thường trú cho con sau khi sinh ra, nhưng khi có đủ điều kiện đăng ký thường trú mà không thực hiện thì vẫn có thể sẽ bị phạt tiền từ 500.000 đồng đến 1.000.000 đồng theo quy định tại điểm a khoản 1 Điều 9 Nghị định 144/2021/NĐ-CP nêu trên.",Đăng ký thường trú,Điều 9 Nghị định 144/2021/NĐ-CP,không thực hiện đăng ký thường trú có thể bị phạt như thế nào?
Cách viết Mẫu CT01 Tờ khai thay đổi thông tin cư trú mới nhất từ 2024?,"NÓNG: Mẫu Tờ khai thay đổi thông tin cư trú CT01 mới nhất từ 01/07/2025 Thông tư 53 của Bộ Công an?
Mẫu Tờ khai thay đổi thông tin cư trú (Mẫu CT01) mới nhất hiện nay là Mẫu được ban hành kèm theo Thông tư 66/2023/TT-BCA được áp dụng từ 01/01/2024.
> Tải Mẫu tờ khai thay đổi thông tin cư trú tại đây
Theo đó, có thể tham khảo cách viết Mẫu Tờ khai thay đổi thông tin cư trú như sau:
(1) Phần kính gửi và thông tin cá nhân:
*Phần kính gửi: Ghi tên Cơ quan đăng ký cư trú.
Theo đó, căn cứ khoản 4 Điều 2 Luật Cư trú 2020 :
*Thông tin cá nhân
- Họ, chữ đệm và tên:
Ghi bằng chữ in hoa hoặc thường, đủ dấu (viết đúng họ, chữ đệm và tên ghi trong giấy khai sinh) của người có sự thay đổi thông tin cư trú.
Ví dụ: NGUYỄN VĂN A
- Ngày, tháng, năm sinh:
Ghi ngày, tháng, năm sinh theo năm dương lịch và đúng với giấy khai sinh của người có thay đổi thông tin cư trú. Lưu ý: ghi 02 chữ số cho ngày sinh, 02 chữ số cho các tháng sinh là tháng 01 và tháng 02, 04 chữ số cho năm sinh.
Ví dụ: 18/12/2001
- Giới tính:
Ghi giới tính của người có thay đổi thông tin cư trú là ""Nam"" hoặc ""Nữ"".
- Số định danh cá nhân:
Ghi đầy đủ số định danh cá nhân (số căn cước công dân).
- Số điện thoại liên hệ:
Ghi số điện thoại di động hoặc điện thoại bàn hiện đang sử dụng.
- Email:
Ghi địa chỉ email cần liên lạc (Không bắt buộc, nếu có thì ghi)
- Họ, chữ đệm và tên chủ hộ:
Ghi bằng chữ in hoa hoặc thường, đủ dấu (viết đúng họ, chữ đệm và tên ghi trong giấy khai sinh) của chủ hộ.
- Mối quan hệ với chủ hộ:
+ Trường hợp đăng ký thường trú, tạm trú theo diện đã có chỗ ở, nhà ở hợp pháp thuộc sở hữu của mình hoặc được chủ nhà cho mượn, thuê ở:
Ghi là chủ hộ, tức đăng ký mình làm chủ hộ.
+ Trường hợp đăng ký thường trú, tạm trú theo diện được chủ hộ đồng ý cho nhập khẩu hoặc cho tạm trú:
Ghi mối quan hệ thực tế với chủ hộ đó. Ví dụ: Vợ, con ruột, con rể, cháu ruột hoặc người ở nhờ, ở mượn, ở thuê, cùng ở nhờ, cùng ở thuê, cùng ở mượn...
+ Trường hợp thay đổi, xác nhận thông tin về cư trú (ví dụ: thay đổi về nơi cư trú; chỉnh sửa thông tin cá nhân; tách hộ; xóa đăng ký thường trú, tạm trú hoặc xác nhận trước đây đã đăng ký thường trú...)
Ghi quan hệ với chủ hộ theo thông tin đã khai trong Cơ sở dữ liệu quốc gia về cư trú hoặc ghi theo sổ hộ khẩu, sổ tạm trú.
- Số định danh cá nhân của chủ hộ:
Ghi đầy đủ số định danh cá nhân (số căn cước công dân) của chủ hộ.
- Những thành viên trong hộ gia đình cùng thay đổi: Điền thông tin tương tự chủ hộ.
(2) Nội dung đề nghị:
Ghi rõ ràng, cụ thể nội dung đề nghị.
Ví dụ: đăng ký thường trú; đăng ký tạm trú; tách hộ; xác nhận thông tin về cư trú...
(3) Ý kiến của chủ hộ:
Áp dụng đối với các trường hợp quy định tại khoản 2, khoản 3, khoản 5, khoản 6 Điều 20; khoản 1 Điều 25; điểm a khoản 1 Điều 26 Luật Cư trú 2020 .
Việc lấy ý kiến của chủ hộ được thực hiện theo các phương thức sau:
- Chủ hộ ghi rõ nội dung đồng ý và ký, ghi rõ họ tên vào Tờ khai.
- Chủ hộ xác nhận nội dung đồng ý thông qua ứng dụng VNeID hoặc các dịch vụ công trực tuyến khác.
- Chủ hộ có văn bản riêng ghi rõ nội dung đồng ý (văn bản này không phải công chứng, chứng thực).
(4) Ý kiến của chủ sở hữu chỗ ở hợp pháp
Áp dụng đối với các trường hợp quy định tại khoản 2, khoản 3, khoản 4, khoản 5, khoản 6 Điều 20; khoản 1 Điều 25 Luật Cư trú 2020 ; điểm a khoản 1 Điều 26 Luật Cư trú 2020 .
Việc lấy ý kiến của chủ sở hữu chỗ ở hợp pháp được thực hiện theo các phương thức sau:
- Chủ sở hữu chỗ ở hợp pháp ghi rõ nội dung đồng ý và ký, ghi rõ họ tên vào Tờ khai.
- Chủ sở hữu chỗ ở hợp pháp xác nhận nội dung đồng ý thông qua ứng dụng VNeID hoặc các dịch vụ công trực tuyến khác.
- Chủ sở hữu chỗ ở hợp pháp có văn bản riêng ghi rõ nội dung đồng ý (văn bản này không phải công chứng, chứng thực).
Ghi chú: Trường hợp chủ sở hữu hợp chỗ ở hợp pháp gồm nhiều cá nhân, tổ chức thì phải có ý kiến đồng ý của tất cả các đồng sở hữu trừ trường hợp đã có thỏa thuận về việc cử đại diện có ý kiến đồng ý; Trường hợp chủ sở hữu chỗ ở hợp pháp xác nhận nội dung đồng ý thông qua ứng dụng VNeID thì công dân phải kê khai thông tin về họ, chữ đệm, tên và số ĐDCN của chủ sở hữu chỗ ở hợp pháp.
(5) Ý kiến của cha, mẹ hoặc người giám hộ:
Áp dụng đối với trường hợp người chưa thành niên, người hạn chế hành vi dân sự, người không đủ năng lực hành vi dân sự có thay đổi thông tin về cư trú.
Việc lấy ý kiến của cha, mẹ hoặc người giám hộ được thực hiện theo các phương thức sau:
- Cha, mẹ hoặc người giám hộ ghi rõ nội dung đồng ý và ký, ghi rõ họ tên vào Tờ khai.
- Cha, mẹ hoặc người giám hộ xác nhận nội dung đồng ý thông qua ứng dụng VNeID hoặc các dịch vụ công trực tuyến khác.
- Cha, mẹ hoặc người giám hộ có văn bản riêng ghi rõ nội dung đồng ý (văn bản này không phải công chứng, chứng thực).
(6) Người kê khai:
Trường hợp nộp trực tiếp người kê khai ký, ghi rõ họ, chữ đệm và tên vào Tờ khai.
Trường hợp nộp qua cổng dịch vụ công hoặc ứng dụng VNeID thì người kê khai không phải ký vào mục này.
(7) Phần số định danh cá nhân:
Chỉ kê khai thông tin khi công dân đề nghị xác nhận nội dung đồng ý thông qua ứng dụng VNeID.

Cách viết Mẫu CT01 Tờ khai thay đổi thông tin cư trú mới nhất từ 2024 chi tiết? Tải Mẫu CT01 ở đâu? (Hình từ Internet)",Thay đổi thông tin cư trú,Luật Cư trú 2020; Thông tư 66/2023/TT-BCA,cách viết mẫu ct01 tờ khai thay đổi thông tin cư trú mới nhất từ 2024?
Khi nào cần phải sử dụng Tờ khai thay đổi thông tin cư trú?,"Căn cứ theo khoản 1 Điều 3 Thông tư 56/2021/TT-BCA có nêu về Tờ khai thay đổi thông tin cư trú như sau:
Như vậy, theo quy định nêu trên thì tờ khai thay đổi thông tin cư trú được sử dụng khi công dân thực hiện các thủ tục:
- Đăng ký thường trú
- Xóa đăng ký thường trú
- Tách hộ
- Điều chỉnh thông tin trong Cơ sở dữ liệu về cư trú
- Đăng ký tạm trú
- Xóa đăng ký tạm trú
- Gia hạn tạm trú
- Khai báo thông tin về cư trú
- Xác nhận thông tin về cư trú",Thay đổi thông tin cư trú,Thông tư 56/2021/TT-BCA,khi nào cần phải sử dụng tờ khai thay đổi thông tin cư trú?
Công an phường có thẩm quyền kiểm tra cư trú theo quy định không?,"Căn cứ theo quy định tại khoản 4 Điều 25 Thông tư 55/2021/TT-BCA như sau:
Đồng thời căn cứ theo khoản 4 Điều 2 Luật Cư trú 2020 có quy định như sau:
Như vậy, Công an xã phường có thẩm quyền kiểm tra cư trú, khi kiểm tra được quyền huy động lực lượng quần chúng làm công tác bảo vệ an ninh, trật tự ở cơ sở, bảo vệ cơ quan, doanh nghiệp, tổ chức cùng tham gia.
Ngoài ra, cơ quan Công an cấp trên cũng có thẩm quyền quyền kiểm tra cư trú, tuy nhiên việc kiểm tra phải phối hợp với Công an phường.

Công an phường kiểm tra cư trú đột xuất vào lúc nửa đêm thì công dân có quyền từ chối không? (Hình từ Internet)",Kiểm tra cư trú,Luật Cư trú 2020; Thông tư 55/2021/TT-BCA,công an phường có thẩm quyền kiểm tra cư trú theo quy định không?
Công an phường kiểm tra cư trú đột xuất vào lúc nửa đêm thì công dân có quyền từ chối không?,"Căn cứ theo quy định tại Điều 25 Thông tư 55/2021/TT-BCA về kiểm tra cư trú như sau:
Như vậy, cán bộ, chiến sĩ Công an phường được giao quản lý cư trú tại địa bàn có quyền tổ chức kiểm tra cư trú đột xuất hoặc do yêu cầu phòng, chống tội phạm, bảo đảm an ninh, trật tự, kể cả vào ban đêm nhằm đảm bảo an ninh và an toàn cho người dân.
Bên cạnh đó, theo khoản 2 Điều 9 Luật Cư trú 2020 thì công dân có nghĩa vụ cung cấp đầy đủ, chính xác, kịp thời thông tin, giấy tờ, tài liệu về cư trú của mình cho cơ quan, người có thẩm quyền và chịu trách nhiệm về thông tin, giấy tờ, tài liệu đã cung cấp.
Cho nên, công dân cần hợp tác chấp hành làm việc với lực lượng kiểm tra cư trú về việc kiểm tra đột xuất này và không được quyền từ chối.",Kiểm tra cư trú,Luật Cư trú 2020; Thông tư 55/2021/TT-BCA,công an phường kiểm tra cư trú đột xuất vào lúc nửa đêm thì công dân có quyền từ chối không?
Công dân không chấp hành kiểm tra cư trú có thể bị xử phạt hành chính bao nhiêu?,"Căn cứ theo quy định tại khoản 4 Điều 9 Nghị định 144/2021/NĐ-CP về mức xử phạt đối với hành vi vi phạm quy định về đăng ký và quản lý cư trú như sau:
Theo đó, người dân có hành vi không chấp hành kiểm tra cư trú có thể bị xử phạt hành chính số tiền từ 4.000.000 đồng đến 6.000.000 đồng.
Lưu ý: Mức xử phạt trên là mức xử phạt đối với cá nhân, đối với tổ chức có cùng hành vi vi phạm, mức phạt tiền gấp 02 lần mức phạt tiền đối với cá nhân (theo quy định tại khoản 2 Điều 4 Nghị định 144/2021/NĐ-CP )",Kiểm tra cư trú,Nghị định 144/2021/NĐ-CP,công dân không chấp hành kiểm tra cư trú có thể bị xử phạt hành chính bao nhiêu?
Nơi cư trú và nơi cư trú cuối cùng của bị đơn được xác định như thế nào?,"Căn cứ điểm a khoản 1 Điều 40 Bộ luật Tố tụng Dân sự 2015 quy định thì nếu không biết nơi cư trú của bị đơn thì nguyên đơn có thể yêu cầu Tòa án nơi bị đơn cư trú cuối cùng hoặc nơi bị đơn có tài sản giải quyết.
Đối chiếu quy định tai Điều 11 Luật Cư trú 2020 quy định về nơi cư trú là:
Theo đó, trường hợp không xác định được nơi thường trú hoặc nơi tạm trú thì nơi cư trú là nơi người đó đang sinh sống.
Ngoài ra, hiện nay chưa có quy định thế nào là nơi cư trú cuối cùng, tuy nhiên, trong trường hợp của bạn, nơi cư trú cuối cùng được hiểu là nơi cuối cùng mà nguyên đơn, người yêu cầu biết được người đã biệt tích thường xuyên sinh sống hoặc sinh sống tại đó trước khi biệt tích.
* Lưu ý:
Trường hợp trong đơn khởi kiện, người khởi kiện đã ghi đầy đủ và đúng địa chỉ nơi cư trú của người bị kiện, người có quyền lợi, nghĩa vụ liên quan nhưng họ không có nơi cư trú ổn định, thường xuyên thay đổi nơi cư trú, trụ sở mà không thông báo địa chỉ mới cho cơ quan, người có thẩm quyền theo quy định của pháp luật về cư trú làm cho người khởi kiện không biết được nhằm mục đích che giấu địa chỉ, trốn tránh nghĩa vụ đối với người khởi kiện thì thẩm phán không trả lại đơn khởi kiện mà xác định người bị kiện, người có quyền lợi, nghĩa vụ liên quan cố tình giấu địa chỉ và tiến hành thụ lý, giải quyết theo thủ tục chung.

Điều kiện để ly hôn với người mất tích thực hiện ra sao?","Ly hôn, Người mất tích",Điều 11 Luật Cư trú 2020; Điều 40 luật Tố tụng Dân sự 2015,nơi cư trú và nơi cư trú cuối cùng của bị đơn được xác định như thế nào?
02 mẫu Tờ khai thay đổi thông tin cư trú mới nhất? Tải mẫu tờ khai?,"Mẫu Tờ khai thay đổi thông tin cư trú mới nhất là mẫu CT01 ban hành kèm theo Thông tư 66/2023/TT-BCA (thay thế mẫu CT01 ban hành kèm theo Thông tư 56/2021/TT-BC ) có dạng như sau:

TẢI VỀ : Mẫu tờ khai thay đổi thông tin cư trú CT01.
Mẫu Tờ khai thay đổi thông tin cư trú (dùng cho công dân Việt Nam định cư ở nước ngoài không có hộ chiếu Việt Nam còn giá trị sử dụng) là mẫu CT02 ban hành kèm theo Thông tư 66/2023/TT-BCA (thay thế mẫu CT02 ban hành kèm theo Thông tư 56/2021/TT-BC ) có dạng như sau:

TẢI VỀ : Mẫu tờ khai thay đổi thông tin cư trú CT02 (dùng cho công dân Việt Nam định cư ở nước ngoài không có hộ chiếu Việt Nam còn giá trị sử dụng).",Tờ khai thay đổi thông tin cư trú,Thông tư 56/2021/TT-BC; Thông tư 66/2023/TT-BCA,02 mẫu tờ khai thay đổi thông tin cư trú mới nhất? tải mẫu tờ khai?
Thời gian xác nhận thông tin về cư trú là bao lâu?,"Căn cứ quy định tại Điều 17 Thông tư 55/2021/TT-BCA được sửa đổi bởi khoản 9 Điều 1 Thông tư 66/2023/TT-BCA có quy định như sau:
Như vậy, thời gian xác nhận thông tin cư trú của công dân như sau:
- Trường hợp thông tin cần xác nhận về cư trú đã có trong Cơ sở dữ liệu quốc gia về dân cư thì thời hạn giải quyết không quá 1/2 ngày làm việc.
- Trường hợp nội dung đề nghị xác nhận không có trong Cơ sở dữ liệu quốc gia về dân cư, Cơ sở dữ liệu về cư trú thì thời hạn giải quyết không quá 03 ngày làm việc.
Lưu ý:
- Công dân có thể yêu cầu cơ quan đăng ký cư trú trong cả nước không phụ thuộc vào nơi cư trú của mình xác nhận thông tin về cư trú bằng hình thức yêu cầu trực tiếp tại trụ sở cơ quan đăng ký cư trú hoặc yêu cầu qua cổng dịch vụ công, ứng dụng VNeID hoặc dịch vụ công trực tuyến khác theo quy định của pháp luật.
- Xác nhận thông tin về cư trú có giá trị sử dụng 01 năm kể từ ngày cấp.
Nếu thông tin về cư trú của công dân có sự thay đổi, điều chỉnh và được cập nhật trong Cơ sở dữ liệu về cư trú thì xác nhận thông tin về cư trú hết giá trị sử dụng kể từ thời điểm thay đổi, điều chỉnh.",Tờ khai thay đổi thông tin cư trú,Thông tư 55/2021/TT-BCA; Thông tư 66/2023/TT-BCA,thời gian xác nhận thông tin về cư trú là bao lâu?
Thủ tục để xin thường trú cho người nước ngoài có vợ là người Việt Nam được quy định như thế nào?,"Theo Điều 41 Luật Nhập cảnh, xuất cảnh, quá cảnh, cư trú của người nước ngoài tại Việt Nam 2014 quy định thủ tục giải quyết cho thường trú như sau:
Theo đó, người nước ngoài đề nghị cho thường trú nộp hồ sơ gồm:
- Đơn xin thường trú theo mẫu NA12 ban hành kèm theo Thông tư 04/2015/TT-BCA ;
- Lý lịch tư pháp do cơ quan có thẩm quyền của nước mà người đó là công dân cấp;
- Công hàm của cơ quan đại diện của nước mà người đó là công dân đề nghị Việt Nam giải quyết cho người đó thường trú;
- Bản sao hộ chiếu có chứng thực;
- Giấy tờ chứng minh đủ điều kiện được xét cho thường trú:
+ Giấy tờ chứng minh có chỗ ở hợp pháp và có thu nhập ổn định bảo đảm cuộc sống tại Việt Nam:
Chỗ ở hợp pháp là nơi được sử dụng để sinh sống, thuộc quyền sở hữu hoặc quyền sử dụng của công dân, bao gồm nhà ở, tàu, thuyền, phương tiện khác có khả năng di chuyển hoặc chỗ ở khác theo quy định của pháp luật (theo khoản 1 Điều 2 Luật Cư trú 2020 ).
Để chứng minh có thu nhập ổn định tại Việt Nam có thể thông qua hợp đồng lao động, xác nhận thu nhập từ phía công ty mà người này đang làm việc.
+ Trường hợp người nước ngoài được vợ là công dân Việt Nam đang thường trú tại Việt Nam bảo lãnh: Đã tạm trú tại Việt Nam liên tục từ 03 năm trở lên.
Để xác định thời gian tạm trú này căn cứ dấu kiểm chứng nhập cảnh, dấu kiểm chứng xuất cảnh được cấp tại cửa khẩu có tổng thời gian tạm trú tại Việt Nam từ 03 năm trở lên trong 04 năm gần nhất tính đến ngày nộp hồ sơ xin thường trú.
- Giấy bảo lãnh đối với người nước ngoài trong trường hợp được vợ là công dân Việt Nam đang thường trú tại Việt Nam bảo lãnh theo mẫu NA11 ban hành kèm theo Thông tư 04/2015/TT-BCA .
Bộ trưởng Bộ Công an xem xét, quyết định cho thường trú trong 04 tháng kể từ ngày nhận đủ hồ sơ. Nếu xét thấy cần phải thẩm tra bổ sung thì có thể kéo dài thêm nhưng không quá 02 tháng.
Cơ quan quản lý xuất nhập cảnh báo bằng văn bản kết quả giải quyết cho người xin thường trú và Công an tỉnh nơi người nước ngoài xin thường trú.
Người nước ngoài phải đến cơ quan quản lý xuất nhập cảnh Công an tỉnh, thành phố trực thuộc trung ương nơi xin thường trú để nhận thẻ thường trú trong 03 tháng kể từ khi nhận được thông báo giải quyết cho thường trú",Thẻ thường trú,"Thông tư 04/2015/TT-BCA; Điều 2 Luật Cư trú 2020; Điều 41 Luật Nhập cảnh, xuất cảnh, quá cảnh, cư trú của người nước ngoài tại Việt Nam 2014",thủ tục để xin thường trú cho người nước ngoài có vợ là người việt nam được quy định như thế nào?
Người từ 18 tuổi trở lên có thể tách hộ khẩu để đăng ký thường trú tại cùng một địa điểm hay không?,"Căn cứ khoản 1 Điều 25 Luật Cư trú 2020 quy định về đối tượng được tách hộ như sau:
Theo đó, nếu thành viên trong gia đình muốn thực hiện tách hộ để đăng ký thường trú tại cùng một chỗ ở hợp pháp thì phải có năng lực hành vi dân sự đầy đủ; được chủ hộ, chủ sở hữu chỗ ở hợp pháp đồng và nơi thường trú của hộ gia đình không thuộc trường hợp không được phép đăng ký thường trú.
Dẫn chiếu Điều 20 Bộ luật Dân sự 2015 quy định về người thành niên như sau:
Như vậy, người từ đủ 18 tuổi trở lên là người có năng lực hành vi dân sự đầy đủ, trừ trường hợp mất hoặc hạn chế năng lực hành vi dân sự hoặc người có khó khăn trong nhận thức, làm chủ hành vi.
Trường hợp con bạn 19 tuổi đã đáp ứng yêu cầu về năng lực hành vi dân sự, nếu muốn tách hộ thì chỉ cần được sự đồng ý của chủ hộ là được.

Người từ đủ 18 tuổi trở lên có thể tách hộ khẩu để đăng ký thường trú tại cùng một địa điểm hay không?",Tách hộ khẩu,Điều 20 luật Dân sự 2015; Điều 25 Luật Cư trú 2020,người từ 18 tuổi trở lên có thể tách hộ khẩu để đăng ký thường trú tại cùng một địa điểm hay không?
Để thực hiện việc tách hộ khẩu thì cá nhân phải chuẩn bị hồ sơ như thế nào và thủ tục thực hiện ra sao?,"Căn cứ khoản 2 và khoản 3 Điều 25 Luật Cư trú 2020 quy định về hồ sơ và thủ tục thực hiện tách hộ như sau:
Theo đó, để tách hộ thì cá nhân cần chuẩn bị tờ khai thay đổi thông tin cư trú, trong đó ghi rõ ý kiến đồng ý cho tách hộ khẩu của chủ hộ, chủ sở hữu.
Sau đó người đăng ký tách hộ khẩu nộp tờ khai cho cơ quan đăng ký cư trú. Trong thời hạn 05 ngày làm việc kể từ ngày nhận được hồ sơ đầy đủ và hợp lệ, cơ quan đăng ký cư trú tiến hành thẩm định, cập nhật thông tin về hộ gia đình liên quan đến việc tách hộ vào Cơ sở dữ liệu về cư trú và thông báo cho người đăng ký về việc đã cập nhật thông tin.
T ải về mẫu tờ khai thay đổi thông tin cư trú (CT01) mới nhất 2023: Tại Đây",Tách hộ khẩu,Điều 25 Luật Cư trú 2020,để thực hiện việc tách hộ khẩu thì cá nhân phải chuẩn bị hồ sơ như thế nào và thủ tục thực hiện ra sao?
Hiện nay cá nhân thực hiện việc tách hộ khẩu có còn được cấp sổ hộ khẩu mới nữa hay không?,"Căn cứ khoản 3 Điều 38 Luật Cư trú 2020 quy định về điều khoản thi hành như sau:
Như vậy, theo quy định hiện nay thì việc tách hộ khẩu sẽ không còn được cấp sổ hộ khẩu mới nữa.
Khi công dân thực hiện các thủ tục đăng ký cư trú dẫn đến thay đổi thông tin trong Sổ hộ khẩu thì cơ quan đăng ký cư trú có trách nhiệm thu hồi Sổ hộ khẩu; thực hiện điều chỉnh, cập nhật thông tin trong Cơ sở dữ liệu về cư trú theo quy định của Luật này và không cấp mới, cấp lại Sổ hộ khẩu, Sổ tạm trú.
Đối với các sổ hộ khẩu đã được cấp vẫn được sử dụng và có giá trị như giấy tờ, tài liệu xác nhận về cư trú theo quy định của Luật này cho đến hết ngày 31 tháng 12 năm 2022.",Tách hộ khẩu,Điều 38 Luật Cư trú 2020,hiện nay cá nhân thực hiện việc tách hộ khẩu có còn được cấp sổ hộ khẩu mới nữa hay không?
Muốn xóa đăng ký thường trú nhưng giữ lại sổ hộ khẩu có được không?,"Căn cứ theo khoản 2 Điều 26 Thông tư 55/2021/TT-BCA của Bộ Công an quy định khi công dân thực hiện các thủ tục sau đây:
- Đăng ký thường trú;
- Điều chỉnh thông tin trong Cơ sở dữ liệu về cư trú;
- Thực hiên tách hộ;
- Xóa đăng ký thường trú;
- Đăng ký tạm trú, gia hạn tạm trú;
- Xóa đăng ký tạm trú dẫn đến thay đổi thông tin trong Sổ hộ khẩu , Sổ tạm trú.
Cơ quan đăng ký cư trú có trách nhiệm thu hồi Sổ hộ khẩu, Sổ tạm trú đã cấp, thực hiện điều chỉnh, cập nhật thông tin trong Cơ sở dữ liệu về cư trú theo quy định của Luật Cư trú và không cấp mới, cấp lại Sổ hộ khẩu, Sổ tạm trú.
Như vậy, khi có thực hiện xóa đăng ký thường trú sẽ dẫn đến thay đổi thông tin của Sổ hộ khẩu thì sẽ bị cơ quan đăng ký cư trú thu hồi Sổ hộ khẩu.

Muốn xóa đăng ký thường trú nhưng giữ lại sổ hộ khẩu có được không? Các trường hợp nào bị thu hồi sổ hộ khẩu? (Hình từ Internet)",Xóa đăng ký thường trú,Thông tư 55/2021/TT-BCA,muốn xóa đăng ký thường trú nhưng giữ lại sổ hộ khẩu có được không?
Nếu sổ hộ khẩu bị thu hồi thì sử dụng giấy tờ nào thay thế?,"Khi sổ hộ khẩu bị thu hồi từ ngày 01/01/2023, người dân có thể sử dụng “Giấy các nhận thông tin về cư trú” để thay thế sổ hộ khẩu trong các thủ tục, giao dịch.
Cụ thể, theo Điều 17 Thông tư 55/2021/TT-BCA thì xác nhận thông tin cư trú như sau:
Theo đó, người dân có yêu cầu xác nhận thông tin về cư trú có thể trực tiếp đến cơ quan đăng ký cư trú trong cả nước không phụ thuộc vào nơi cư trú của công dân để đề nghị cấp xác nhận thông tin về cư trú hoặc gửi yêu cầu xác nhận thông tin về cư trú qua Cổng dịch vụ công quốc gia, Cổng dịch vụ công Bộ Công an, Cổng dịch vụ công quản lý cư trú.",Xóa đăng ký thường trú,Thông tư 55/2021/TT-BCA,nếu sổ hộ khẩu bị thu hồi thì sử dụng giấy tờ nào thay thế?
Giấy xác nhận cư trú có giá trị trong thời gian bao lâu?,"Căn cứ theo quy định tại Điề u 17 Thông tư 55/2021/TT-BCA quy định như sau:
Theo như quy định trên, Giấy xác nhận cư trú có giá trị sử dụng trong thời gian như sau:
- Trường hợp khai báo cư trú của người không có cả nơi thường trú và tạm trú do không đủ điều kiện đăng ký thường trú, đăng ký tạm trú: Giấy xác nhận cư trú có giá trị 06 tháng kể từ ngày cấp
- T rường hợp xác nhận thông tin về cư trú: c ó giá trị 30 ngày kể từ ngày cấp
- Trường hợp thông tin về cư trú của công dân được thay đổi, điều chỉnh và cập nhật trong Cơ sở dữ liệu về cư trú thì giấy xác nhận thông tin về cư trú đã cấp hết giá trị kể từ thời điểm thay đổi.
",Thông tin về nơi cư trú,Thông tư 55/2021/TT-BCA,giấy xác nhận cư trú có giá trị trong thời gian bao lâu?
Sổ hộ khẩu đã bị khai tử như thế nào?,"Căn cứ quy định tại khoản 3 Điều 38 Luật Cư trú 2020 , thì Sổ hộ khẩu, Sổ tạm trú đã cấp có giá trị sử dụng đến hết 31/12/2022.
Trước thời điểm này, Bộ tư pháp đã ban hành Quyết định 2228/QĐ-BTP năm 2022 công bố thủ tục hành chính mới ban hành; thủ tục hành chính được sửa đổi, bổ sung trong lĩnh vực hộ tịch thực hiện tại cơ quan đăng ký hộ tịch thuộc phạm vi chức năng quản lý của Bộ Tư pháp.
Theo đó, Bộ Tư pháp đã ban hành quyết định bãi bỏ 37 thủ tục, không yêu cầu người dân phải xuất trình sổ hộ khẩu, sổ tạm trú giấy để làm thủ tục hành chính.
Ngày 21/12/2022. Chính phủ cũng đã ban hành Nghị định 104/2022/NĐ-CP về sửa đổi Nghị định liên quan đến việc nộp, xuất trình sổ hộ khẩu, sổ tạm trú giấy khi thực hiện thủ tục hành chính, cung cấp dịch vụ công.
Quy định mới này đã bãi bỏ quy định về việc nộp, xuất trình sổ hộ khẩu, sổ tạm trú giấy khi thực hiện thủ tục hành chính, cung cấp dịch vụ công, chủ yếu thuộc nhiều lĩnh vực như: việc làm, bảo hiểm y tế, giáo dục, y tế, đất đai, thuế, nhà ở, nhà ở xã hội, điện lực, nuôi con nuôi…
Có thể thấy, từ 01/01/2023 sổ hộ khẩu , sổ tạm trú đã chính thức bị “khai tử”

Có bắt buộc phải xin giấy xác nhận cư trú để thay cho sổ hộ khẩu? Sổ hộ khẩu đã bị khai tử như thế nào? (Hình từ Internet)",Sổ hộ khẩu,Luật Cư trú 2020; Nghị định 104/2022/NĐ-CP,sổ hộ khẩu đã bị khai tử như thế nào?
Các phương thức sử dụng thông tin công dân thay thể khi bỏ sổ hộ khẩu giấy là gì?,"Để triển khai thống nhất, đồng bộ các quy định nêu trên về việc không sử dụng sổ hộ khẩu, sổ tạm trú. Cục Cảnh sát quản lý hành chính về trật tự xã hội (C06), Bộ Công an đã có hướng dẫn 07 phương thức sử dụng thông tin công dân thay thể khi bỏ sổ hộ khẩu giấy.
- Sử dụng thẻ Căn cước công dân gắn chíp điện tử là giấy tờ pháp lý chứng minh thông tin về cá nhân, nơi thường trú
- Sử dụng thiết bị đọc mã QRCode trên thẻ CCCD có gắn chíp
- Sử dụng thiết bị đọc chíp trên thẻ CCCD
- Người dân tra cứu, khai thác thông tin cá nhân trực tuyến trong Cơ sở dữ liệu quốc gia về dân cư để sử dụng khi thực hiện thủ tục hành chính, giao dịch dân sự bằng cách:
- Sử dụng ứng dụng VNeID hiển thị các thông tin trên các thiết bị điện tử để phục vụ giải quyết các thủ tục hành chính, giao dịch dân sự, bằng cách:
- Sử dụng giấy xác nhận thông tin về cư trú (ban hành kèm theo Thông tư 56/2021/TT-BCA
- Sử dụng Thông báo số định danh cá nhân và thông tin trong Cơ sở dữ liệu quốc gia về dân cư (theo quy định tại Thông tư 17/2024/TT-BCA )",Sổ hộ khẩu,Thông tư 17/2024/TT-BCA; Thông tư 56/2021/TT-BCA,các phương thức sử dụng thông tin công dân thay thể khi bỏ sổ hộ khẩu giấy là gì?
